VARIABLE,DESCRIPTION,SOURCE,Activate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IADLHP31,IADL Screener – RD 3/1,HE 1-3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADLHLP31,ADL Screener – RD 3/1,HE 4-6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIDHLP31,Used Assistive Devices – RD 3/1,HE 7-8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WLKLIM31,Limitation in Physical Functioning – RD 3/1,HE 9-10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LFTDIF31,Difficulty Lifting 10 Pounds – RD 3/1,HE 11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STPDIF31,Difficulty Walking up 10 Steps – RD 3/1,HE 12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WLKDIF31,Difficulty Walking 3 Blocks – RD 3/1,HE 13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILDIF31,Difficulty Walking a Mile – RD 3/1,HE 14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STNDIF31,Difficulty Standing 20 Minutes – RD 3/1,HE 15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENDIF31,Difficulty Bending/Stooping – RD 3/1,HE 16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCHDIF31,Difficulty Reaching Overhead – RD 3/1,HE 17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNGRDF31,Difficulty Using Fingers to Grasp – RD 3/1,HE 18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTLIM31,Any Limitation Work/Housewrk/Schl – RD 3/1,HE 19-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WRKLIM31,Work Limitation – RD 3/1,HE 20A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSELIM31,Housework Limitation – RD 3/1,HE 20A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHLIM31,School Limitation – RD 3/1,HE 20A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNABLE31,Completely Unable to Do Activity – RD 3/1,HE 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOCLIM31,Social Limitations – RD 3/1,HE 22-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COGLIM31,Cognitive Limitations – RD 3/1,HE 24-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFHEAR42,Serious Difficulty Hearing-RD4/2,HE26-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
