identifier,att_GoodForKids,att_RestaurantsGoodForGroups,att_OutdoorSeating,att_RestaurantsReservations,att_HasAlcohol,att_RestaurantsTableService,meal_dinner,meal_lunch,amb_target
5eq56X-e9YbAKmHgUOyXSg|Hunan Lion,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0
Fl_7YDOMt58rTNHa7p2G4w|Waffle House,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0
vecuat0jOia-CJveW3ngDw|Schmidt's Sausage Haus,1.0,1.0,,0.0,1.0,,1.0,1.0,1.0
ZaMMUcOIngBCgxuKxFzfqg|McDonald's,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
FrFDIPBzRbFVfanxG4wcNQ|Exotic Latin Grill,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
P0l1XH6KHqo6rk-R03SDXA|White Castle,1.0,1.0,0.0,0.0,0.0,,,,2.0
PDwWsE6XYJPR83HrBSDFIg|Pablo's Havana Cafe,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
fRi0NgK65Inn8x9Pak9yMg|Spicy Cup Cafe & Bakery,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
_TTsA0J7UfNkVyjp45G79Q|Red Robin Gourmet Burgers and Brews,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,2.0
P-5Ze1LN_KqrWBhha-kJTA|Fresh Start Cafe and Bakery,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ZnZRIs5GmA9VGa_RwFsHaQ|The Bogey Bar & Grill,1.0,1.0,1.0,1.0,1.0,,,,1.0
PGp6WaZz8OdhyTc6cUbTUw|Taranto's Pizzeria,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,
ALP7rrHJxXIHyzMMPGQ1vw|LittleMoon Cafe and Tea,,,1.0,,,,,,
dynb8-X4bGTl_BSX9ZxlPA|Mama Mimi's Take N Bake Pizza,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
MASEgGo5kk8AKnMP4s5MRg|New Taj Mahal Indian Restaurant,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0
p915L72HheTfBVYWsSfCDg|BrewDog DogTap,1.0,1.0,1.0,1.0,1.0,,,,1.0
uTMksZ_1M8hoZb1l1q7vcQ|12 West,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
M3fWBfeqejKJYB7CWH8qSA|Bob Evans,1.0,1.0,0.0,0.0,0.0,1.0,,1.0,1.0
Fxdy2WZ6LAu_C5SPJpqApw|Pattycake Bakery,1.0,0.0,,0.0,0.0,,0.0,0.0,3.0
-kcM672owPBvJzDqQ4My_Q|What the Waffle,,,,,,0.0,,,
a9dNRK9qulD59jwIHbzllA|Loops,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0
ddXoKyIQnrG9TTC32xLuCw|Overtime Sports Pub,0.0,1.0,1.0,,1.0,,0.0,0.0,1.0
u6X-4q4wh5SM0E1UxedC9A|Ange's Pizza,0.0,0.0,0.0,0.0,1.0,,,,0.0
MyuVJzBb0WYWUU2bOBBDrg|Tucci's,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0
0gn3CVA33_jKAxR5RzLPWg|Dawghouse Pizza & Bar,0.0,1.0,,0.0,,,0.0,0.0,
3ejTwwDZ-2zbWBFaly46wg|Bruegger's Bagels,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0
FZ2T63p2enpFEpsYxcz_TA|Yogi's Hoagies,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
5CSb10ZhZB1CJ6OgC6mPSg|Polaris Grill,1.0,1.0,1.0,1.0,1.0,,1.0,,2.0
88u86cBxPFGzaa2fVm5dqw|Tim Hortons,1.0,0.0,0.0,0.0,0.0,,,,0.0
uYlM_RcEJFEy6T9aWOOuyA|Romeo's Pizza,1.0,0.0,0.0,0.0,0.0,,,,0.0
_4jW61c-4RuVMHPAzwxFKQ|Wendy's,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0
LptUcswBlIpNZ91f6pLITA|Shi Chi Japanese Restaurant,1.0,1.0,0.0,1.0,1.0,,1.0,0.0,1.0
oFnXdnxLm1AlIj6wVtHHCA|Jason's Deli,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0
ijxjqHVPBmeNY41sFiBvtA|Rise Pies,1.0,1.0,1.0,0.0,,,0.0,1.0,0.0
o2GtrUnR-aEonmERNAFLdw|Classics Sports Bar,0.0,1.0,1.0,0.0,1.0,,0.0,0.0,
NOH5KIJ9Q77RTisyanWGpg|Brenen's Cafe,1.0,1.0,1.0,0.0,0.0,,,,0.0
zdXd2X8oH4r7QCD0mF9tig|Be Fit Cafe,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0
DwkhuFNZXsnEkox39w99Ug|Sloopy's Pub,,1.0,0.0,,,,,,
4KZm9EcnygkFmEWpPSNqIw|Hyatt Regency Columbus,,1.0,,1.0,,,0.0,0.0,
fgkQ_SLtVx2yGCq0x3SKKg|Chick-fil-A,,,1.0,,,,,,0.0
uyvvzHJ9tlXZ-DEbCJ81Zg|Wing's Restaurant,0.0,1.0,1.0,1.0,1.0,,1.0,0.0,1.0
ibcZ5jIK2L_hchE5bw6ClA|McDonald's,1.0,1.0,1.0,0.0,0.0,,,,0.0
2wHpbGC_lZJhrcKgIPfR1Q|Heirloom,1.0,1.0,0.0,0.0,1.0,,0.0,1.0,1.0
ewFMsE_X1PcS09yuO6eklA|J. Gilbert's Wood Fired Steaks & Seafood Columbus,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0
-fQkHDRvZq5YBZC86S2DsQ|Genjigo,1.0,1.0,1.0,0.0,,0.0,0.0,1.0,1.0
43S0htWaqRErwiAc04GceQ|Pitabilities,1.0,,1.0,,0.0,0.0,0.0,1.0,
aUoUZozadNfQJVYKdTHmJA|Press Pub On 5th - Grandview,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
E7O4ToBlxCVWEhODtmBZsQ|Urban Coffee | Subway,1.0,1.0,1.0,0.0,0.0,,,,0.0
24bxH8U1DRu1biUYaaEv8w|Hounddog's Three Degree Pizza,1.0,1.0,,0.0,1.0,1.0,1.0,,3.0
rZOy9CG5oMQfadSuj_zwAw|Sunny Street Cafe,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
dJWEzqPtq_g6Nki_cXdHGQ|Cameron's American Bistro,0.0,1.0,0.0,1.0,1.0,,1.0,0.0,2.0
cuQJlMArABjR2Pmhcd-Nqg|Tim Hortons,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0
V_MAyznVMlZhzJNEMQT0bg|ALDI,,,,,1.0,,0.0,0.0,
xFX9f5NYIZKHp9iX-_7Rxg|Dunkin',1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
fH8jd2oh3wpmTBNFV8tfqg|Eastern Palace,1.0,1.0,0.0,1.0,1.0,1.0,,,1.0
nAZN6PpCa6Pphf1wwCxNAw|Papa John's Pizza,0.0,0.0,0.0,0.0,,,,,
Wdpb6x08_P3YZ3dEK19cYA|Waffle House,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0
pgfHXhxYwImys-QuLh2AYA|The Crispy Coop,,1.0,1.0,0.0,0.0,0.0,,,
MNE01ZJ4v3ACm55KFitC0A|Denmark,0.0,1.0,0.0,,1.0,1.0,,0.0,2.0
